incident_number,title,category,priority,status,reporter_id,assignee_id,affected_customers_count,estimated_revenue_impact,customer_id,order_id,resolution_summary,root_cause,resolution_category,created_at,acknowledged_at,first_response_at,resolved_at,closed_at,updated_at,sla_breach,sla_due_at,source_system,external_source_id,has_attachments
INC-2024-001,Payment Gateway Timeout Issues,payment,high,resolved,usr_003,usr_002,150,2500.00,cust_001,ord_001,Payment gateway configuration updated to increase timeout values,Payment processor timeout set too low during high traffic,Configuration,2024-01-20 14:30:00,2024-01-20 14:35:00,2024-01-20 14:40:00,2024-01-20 16:15:00,2024-01-20 16:20:00,2024-01-20 16:20:00,false,2024-01-20 18:30:00,monitoring,mon_001,true
INC-2024-002,User Login Authentication Failures,authentication,critical,resolved,usr_009,usr_005,75,1200.00,,,Authentication service restarted and cache cleared,Redis cache corruption causing authentication failures,Service Restart,2024-01-22 09:15:00,2024-01-22 09:18:00,2024-01-22 09:25:00,2024-01-22 10:45:00,2024-01-22 10:50:00,2024-01-22 10:50:00,false,2024-01-22 11:15:00,customer_portal,cp_002,false
INC-2024-003,Website Performance Degradation,performance,medium,resolved,usr_010,usr_007,300,5000.00,,,Database query optimization implemented,Inefficient database queries causing slow page loads,Code Fix,2024-01-25 11:20:00,2024-01-25 11:30:00,2024-01-25 11:45:00,2024-01-25 14:30:00,2024-01-25 14:35:00,2024-01-25 14:35:00,false,2024-01-25 15:20:00,monitoring,mon_003,true
INC-2024-004,Email Notification System Down,notification,high,resolved,usr_002,usr_004,200,800.00,,,Email service configuration restored,SMTP server configuration error after maintenance,Configuration,2024-01-28 08:45:00,2024-01-28 08:50:00,2024-01-28 09:00:00,2024-01-28 10:15:00,2024-01-28 10:20:00,2024-01-28 10:20:00,false,2024-01-28 12:45:00,manual,man_004,false
INC-2024-005,Shopping Cart Items Not Saving,cart,high,open,usr_006,usr_007,45,1500.00,cust_002,ord_005,,,In Progress,2024-02-01 13:25:00,2024-02-01 13:30:00,2024-02-01 13:40:00,,,2024-02-01 15:30:00,false,2024-02-01 17:25:00,customer_portal,cp_005,true
INC-2024-006,Mobile App Crash on iOS,mobile,medium,investigating,usr_008,usr_007,25,600.00,,,,,2024-02-03 16:10:00,2024-02-03 16:15:00,,,2024-02-03 16:15:00,false,2024-02-04 10:10:00,monitoring,mon_006,false
INC-2024-007,Database Connection Pool Exhaustion,database,critical,acknowledged,usr_004,usr_002,500,8000.00,,,,,2024-02-05 07:30:00,2024-02-05 07:35:00,,,2024-02-05 07:35:00,false,2024-02-05 09:30:00,monitoring,mon_007,true
INC-2024-008,Search Functionality Returning Empty Results,search,medium,open,usr_009,usr_002,80,300.00,,,,,2024-02-06 10:45:00,,,,,2024-02-06 10:45:00,false,2024-02-06 14:45:00,customer_portal,cp_008,false
INC-2024-009,SSL Certificate Expiration Warning,security,low,resolved,usr_005,usr_005,0,0.00,,,SSL certificate renewed for 1 year,Certificate expired due to missed renewal notification,Process Improvement,2024-02-07 12:00:00,2024-02-07 12:05:00,2024-02-07 12:10:00,2024-02-07 13:30:00,2024-02-07 13:35:00,2024-02-07 13:35:00,false,2024-02-08 12:00:00,monitoring,mon_009,false
INC-2024-010,Inventory System Data Sync Issues,inventory,medium,investigating,usr_010,usr_006,100,2000.00,,,,,2024-02-08 15:20:00,2024-02-08 15:25:00,2024-02-08 15:35:00,,2024-02-08 15:35:00,false,2024-02-09 09:20:00,manual,man_010,true
